timestamp,x,y,z,r
2024/06/05-18:53:24.638820,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.704946,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.796859,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.964846,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.018924,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.067677,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.159046,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.229500,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.308985,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.348414,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.432805,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.512108,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.624746,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.689426,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.731330,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.818701,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.899591,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:25.985036,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.025817,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.111346,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.203343,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.308966,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.389890,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.481534,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.569958,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.662959,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.748834,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.823650,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.897040,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:26.983109,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.046035,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.121759,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.218727,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.279876,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.321934,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.400294,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.485341,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:27.560445,400.32,-96.77,272.65,-4.01
